시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,988,8,240,1009,82
서울,중구,931,3,217,877,100
서울,용산구,996,11,261,1077,28
서울,성동구,919,6,203,959,59
서울,동대문구,1674,10,424,1452,163
서울,성북구,1256,8,310,1136,135
서울,도봉구,530,7,146,469,70
서울,은평구,1039,7,278,981,94
서울,서대문구,916,4,205,877,138
서울,마포구,1250,14,282,1257,176
서울,강서구,1518,9,367,1506,239
서울,구로구,1359,5,313,1322,205
서울,영등포구,1900,7,449,1938,232
서울,동작구,1242,6,281,1232,155
서울,관악구,980,10,273,925,54
서울,강남구,3926,7,698,4171,360
서울,강동구,1185,4,312,1146,64
서울,송파구,2614,10,603,2621,379
서울,서초구,2168,7,477,2694,148
서울,양천구,1221,5,250,1258,116
서울,중랑구,1268,7,368,1182,154
서울,노원구,1366,9,285,1410,174
서울,광진구,717,4,127,722,50
서울,강북구,972,5,204,940,73
서울,금천구,876,7,236,904,92
부산,중구,320,1,105,334,27
부산,서구,440,3,124,450,42
부산,동구,487,4,163,543,32
부산,영도구,248,4,102,222,5
부산,부산진구,1392,8,428,1334,125
부산,동래구,975,10,237,947,69
부산,남구,805,8,211,756,65
부산,북구,562,9,137,567,44
부산,해운대구,795,7,256,750,97
부산,사하구,830,10,275,699,44
부산,금정구,718,7,209,694,79
부산,강서구,787,12,278,805,45
부산,연제구,669,3,207,614,59
부산,수영구,764,3,208,718,89
부산,사상구,649,9,213,639,39
부산,기장군,562,5,166,657,58
경기,수원시,4744,30,1082,5183,423
경기,성남시,3838,20,929,4301,448
경기,의정부시,1529,12,315,1551,271
경기,안양시,1263,18,384,1344,66
경기,부천시,3478,20,647,3683,288
경기,안산시,3733,19,877,4136,392
경기,평택시,3479,39,840,3669,623
경기,광명시,1047,7,232,1085,150
경기,구리시,702,8,184,813,39
경기,양주시,1227,10,262,1338,109
경기,여주시,520,12,151,736,34
경기,화성시,3352,33,815,3789,469
경기,시흥시,2177,23,520,2442,367
경기,파주시,1730,20,478,1744,237
경기,고양시,3603,26,829,4071,396
경기,광주시,2129,18,408,2536,289
경기,연천군,176,6,52,176,21
경기,포천시,652,15,249,845,18
경기,가평군,357,10,117,443,33
경기,양평군,504,9,152,632,56
경기,이천시,987,30,261,1123,123
경기,용인시,3611,33,835,4276,454
경기,안성시,1068,19,304,1242,176
경기,김포시,1796,13,448,2096,135
경기,동두천시,314,5,67,326,19
경기,과천시,151,2,30,172,9
경기,군포시,488,5,153,480,71
경기,남양주시,1942,21,484,2270,166
경기,오산시,998,6,224,1006,210
경기,의왕시,364,4,93,457,17
경기,하남시,1205,9,302,1255,181
강원,춘천시,1251,15,279,1125,482
강원,원주시,1423,21,357,1615,104
강원,동해시,315,2,95,336,10
강원,강릉시,758,19,204,834,19
강원,속초시,362,5,199,378,6
강원,태백시,200,1,39,269,15
강원,삼척시,200,9,58,214,1
강원,홍천군,225,9,81,321,64
강원,횡성군,177,15,72,163,24
강원,영월군,151,8,74,141,42
강원,평창군,176,13,95,238,41
강원,정선군,165,7,57,209,4
강원,철원군,117,3,39,134,5
강원,화천군,86,0,22,109,6
강원,양구군,93,3,54,91,25
강원,인제군,107,5,65,118,8
강원,고성군,111,2,61,95,0
강원,양양군,162,3,53,199,5
충북,청주시,4337,48,1189,4867,217
충북,충주시,1026,16,307,1240,14
충북,제천시,737,11,200,843,81
충북,보은군,133,12,102,134,2
충북,옥천군,147,12,76,138,8
충북,영동군,134,7,87,73,5
충북,진천군,476,9,153,550,11
충북,괴산군,164,12,71,166,7
충북,음성군,479,19,167,542,32
충북,단양군,100,5,22,138,0
충북,증평군,206,3,64,216,14
충남,천안시,3403,37,726,3574,485
충남,아산시,1289,16,334,1510,37
충남,보령시,279,8,169,246,3
충남,공주시,439,22,162,465,17
충남,서산시,683,23,283,670,42
충남,금산군,139,7,60,117,1
충남,태안군,218,6,101,232,2
충남,논산시,298,9,174,284,7
충남,부여군,237,13,149,171,0
충남,서천군,226,11,107,250,10
충남,청양군,165,9,87,140,5
충남,홍성군,236,9,95,222,13
충남,예산군,374,10,113,398,20
충남,당진시,561,18,151,645,22
충남,계룡시,59,0,17,75,1
전북,전주시,1981,26,579,2247,44
전북,군산시,1183,18,245,1375,137
전북,정읍시,350,12,136,400,23
전북,남원시,261,16,109,229,8
전북,김제시,261,14,133,292,2
전북,완주군,257,21,88,323,6
전북,진안군,97,6,37,100,8
전북,무주군,79,4,35,98,1
전북,장수군,48,8,29,30,1
전북,임실군,75,6,43,72,3
전북,순창군,95,3,33,68,31
전북,고창군,149,14,59,128,1
전북,부안군,168,7,67,171,3
전북,익산시,826,16,249,879,16
전남,목포시,1207,10,179,1613,48
전남,여수시,1305,19,283,1460,75
전남,순천시,1133,18,292,1302,43
전남,나주시,530,17,163,762,16
전남,광양시,632,11,162,751,45
전남,담양군,279,9,73,364,13
전남,곡성군,125,4,44,141,6
전남,구례군,102,4,49,123,18
전남,고흥군,198,13,101,158,8
전남,보성군,183,10,36,228,6
전남,화순군,268,12,68,349,23
전남,장흥군,248,4,73,271,17
전남,강진군,289,8,80,373,70
전남,해남군,263,11,132,238,8
전남,영암군,418,19,97,568,35
전남,무안군,238,13,88,226,5
전남,함평군,180,6,74,164,57
전남,영광군,134,4,55,126,14
전남,장성군,191,8,88,211,7
전남,완도군,146,8,41,148,0
전남,진도군,114,10,52,98,8
전남,신안군,104,9,54,107,7
경북,포항시,2554,23,625,2912,292
경북,경주시,1176,42,473,1104,93
경북,김천시,376,10,170,312,18
경북,안동시,722,17,281,703,160
경북,구미시,1453,22,424,1439,132
경북,영주시,290,10,137,229,25
경북,영천시,461,20,173,488,37
경북,문경시,296,8,116,284,18
경북,상주시,432,18,158,414,35
경북,군위군,49,3,23,38,3
경북,의성군,218,2,119,186,9
경북,청송군,113,6,55,98,22
경북,영양군,62,8,29,53,2
경북,영덕군,237,8,83,289,14
경북,청도군,189,8,77,190,6
경북,고령군,114,6,47,104,0
경북,성주군,224,10,83,235,29
경북,칠곡군,547,13,158,608,44
경북,예천군,137,3,71,113,2
경북,봉화군,121,8,70,102,3
경북,울진군,175,5,91,144,28
경북,울릉군,18,1,6,14,0
경북,경산시,813,12,279,795,22
경남,진주시,662,21,297,526,42
경남,통영시,654,4,206,733,35
경남,김해시,1968,17,679,1943,179
경남,밀양시,455,8,239,389,65
경남,거제시,709,15,303,595,69
경남,의령군,102,1,60,86,5
경남,함안군,271,9,142,249,13
경남,창녕군,227,16,160,138,10
경남,양산시,1304,17,420,1161,176
경남,고성군,192,4,126,138,7
경남,사천시,551,17,221,519,32
경남,남해군,148,6,84,90,37
경남,하동군,118,9,61,85,7
경남,산청군,200,10,81,186,27
경남,함양군,190,14,99,123,65
경남,거창군,222,10,130,141,7
경남,합천군,169,11,96,98,15
경남,창원시(통합),2980,48,1008,2782,213
제주,제주시,2740,25,728,2844,402
제주,서귀포시,1210,20,410,1294,206
대구,중구,771,5,170,797,166
대구,동구,1587,16,431,1707,179
대구,서구,1014,7,272,1042,128
대구,남구,493,2,137,502,32
대구,북구,1865,14,461,1906,247
대구,수성구,1900,10,412,2204,175
대구,달서구,2323,13,527,2477,148
대구,달성군,861,12,235,876,55
대구,군위군,66,7,40,57,5
인천,중구,613,5,151,669,31
인천,동구,118,3,36,106,2
인천,미추홀구,1337,14,281,1376,84
인천,부평구,1201,6,239,1175,94
인천,남동구,1580,15,333,1753,108
인천,서구,1338,17,321,1521,41
인천,연수구,668,9,152,703,23
인천,계양구,609,4,135,738,9
인천,강화군,158,9,73,153,8
인천,옹진군,26,1,11,21,0
광주,동구,485,5,75,569,30
광주,서구,1746,6,269,2359,132
광주,북구,2105,15,335,2667,198
광주,광산구,1902,21,293,2455,94
광주,남구,734,1,122,856,36
대전,동구,1137,7,263,1326,35
대전,중구,1099,7,258,1259,25
대전,서구,2432,24,488,2802,86
대전,유성구,1771,14,348,2183,135
대전,대덕구,959,9,202,1133,86
울산,중구,619,6,210,617,82
울산,남구,1143,8,375,1033,83
울산,동구,436,4,175,336,16
울산,북구,737,7,236,798,73
울산,울주군,729,15,261,691,128
세종,세종시,1166,13,316,1026,382
